stop1,stop2,transporte1,transporte2
AVIACION ESPAÑOLA,CAMPAMENTO,urban,urban
AVIACION ESPAÑOLA,CARABANCHEL ALTO,urban,urban
AVIACION ESPAÑOLA,CUATRO VIENTOS,urban,urban
BAMBU,DUQUE DE PASTRANA,urban,urban
BAMBU,PINAR DE CHAMARTIN,urban,urban
BANCO DE ESPAÑA,CHUECA,urban,urban
BANCO DE ESPAÑA,COLON,urban,urban
BANCO DE ESPAÑA,ESTACION DEL ARTE,urban,urban
BANCO DE ESPAÑA,GRAN VIA,urban,urban
BANCO DE ESPAÑA,ODONNELL,urban,urban
BANCO DE ESPAÑA,RETIRO,urban,urban
BANCO DE ESPAÑA,SEVILLA,urban,urban
BARRIO DE LA CONCEPCION,EL CARMEN,urban,urban
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,urban,urban
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,urban,urban
BARRIO DE LA CONCEPCION,QUINTANA,urban,urban
BARRIO DEL PILAR,BEGOÑA,urban,urban
BARRIO DEL PILAR,CHAMARTIN,urban,urban
BARRIO DEL PILAR,HERRERA ORIA,urban,urban
BARRIO DEL PILAR,PEÑAGRANDE,urban,urban
BARRIO DEL PILAR,VENTILLA,urban,urban
BATAN,CASA DE CAMPO,urban,urban
BATAN,LUCERO,urban,urban
BEGOÑA,CHAMARTIN,urban,urban
BEGOÑA,FUENCARRAL,urban,urban
BEGOÑA,HERRERA ORIA,urban,urban
BEGOÑA,LAS TABLAS,urban,urban
BEGOÑA,PACO DE LUCIA,urban,urban
BEGOÑA,PLAZA DE CASTILLA,urban,urban
BEGOÑA,TRES OLIVOS,urban,urban
BILBAO,IGLESIA,urban,urban
BILBAO,QUEVEDO,urban,urban
BILBAO,SAN BERNARDO,urban,urban
BILBAO,TRIBUNAL,urban,urban
BUENOS AIRES,CONDE DE CASAL,urban,urban
BUENOS AIRES,NUEVA NUMANCIA,urban,urban
BUENOS AIRES,PORTAZGO,urban,urban
